ticker,date,open,high,low,close
GIW,2025-10-27,10.05,10.05,9.93,9.93
GIW,2025-10-28,9.95,9.96,9.93,9.94
GIW,2025-10-29,9.95,9.96,9.94,9.94
GIW,2025-10-30,9.94,9.95,9.93,9.945
GIW,2025-10-31,9.9482,9.95,9.935,9.935
GIW,2025-11-03,9.94,9.945,9.93,9.93
GIW,2025-11-04,9.94,9.95,9.94,9.94
GIW,2025-11-05,9.95,9.95,9.945,9.945
GIW,2025-11-06,9.95,9.95,9.92,9.93
GIW,2025-11-07,9.93,9.93,9.9,9.91
GIW,2025-11-10,9.92,9.92,9.915,9.92
GIW,2025-11-11,9.915,9.92,9.915,9.92
GIW,2025-11-12,9.91,9.92,9.91,9.915
GIW,2025-11-13,9.91,9.92,9.91,9.91
GIW,2025-11-14,9.915,9.925,9.915,9.915
GIW,2025-11-17,9.93,9.93,9.9,9.9
GIW,2025-11-18,9.92,9.92,9.9,9.91
GIW,2025-11-19,9.91,9.91,9.9,9.91
GIW,2025-11-20,9.91,9.9155,9.9,9.905
GIW,2025-11-21,9.93,9.93,9.9,9.9
GIW,2025-11-24,9.9,9.905,9.9,9.9
GIW,2025-11-25,9.915,9.9187,9.905,9.91
GIW,2025-11-26,9.915,9.915,9.9,9.9
GIW,2025-11-28,9.9,9.91,9.9,9.905
GIW,2025-12-01,9.9101,9.915,9.89,9.89
GIW,2025-12-02,9.9,9.9,9.89,9.9
GIW,2025-12-03,9.9,9.9,9.89,9.89
GIW,2025-12-04,9.9,9.9,9.895,9.9
GIW,2025-12-05,9.8966,9.8966,9.8966,9.8966
GIW,2025-12-08,9.9,9.9,9.885,9.885
GIW,2025-12-09,9.9,9.9,9.881,9.885
GIW,2025-12-10,9.9,9.9,9.89,9.9
GIW,2025-12-11,9.88,9.9,9.88,9.88
GIW,2025-12-12,9.89,9.89,9.88,9.88
