ticker,date,open,high,low,close
MPLT,2025-10-27,19.0,20.8558,18.0,18.34
MPLT,2025-10-28,17.75,19.39,16.75,16.75
MPLT,2025-10-29,16.77,17.66,15.0,16.53
MPLT,2025-10-30,16.8,18.35,16.5901,18.13
MPLT,2025-10-31,18.67,18.8389,16.21,17.075
MPLT,2025-11-03,17.0,17.56,15.16,16.96
MPLT,2025-11-04,16.61,16.61,15.675,16.24
MPLT,2025-11-05,16.22,16.765,15.78,16.0
MPLT,2025-11-06,15.85,16.25,14.0001,16.14
MPLT,2025-11-07,15.92,16.27,15.01,15.61
MPLT,2025-11-10,15.73,16.19,14.93,15.22
MPLT,2025-11-11,15.36,16.1,14.64,15.12
MPLT,2025-11-12,14.65,16.08,13.33,14.49
MPLT,2025-11-13,14.2,14.55,13.81,14.26
MPLT,2025-11-14,14.14,14.631,13.365,14.09
MPLT,2025-11-17,13.9,14.605,13.8,13.8
MPLT,2025-11-18,13.49,15.375,13.49,14.9
MPLT,2025-11-19,14.88,15.35,13.47,14.6
MPLT,2025-11-20,14.6,15.075,13.28,13.4
MPLT,2025-11-21,13.96,14.415,13.2,13.915
MPLT,2025-11-24,13.8,14.32,12.92,13.0
MPLT,2025-11-25,12.87,13.55,12.68,12.81
MPLT,2025-11-26,12.65,13.07,12.24,12.99
MPLT,2025-11-28,13.0,14.18,12.9,13.63
MPLT,2025-12-01,13.99,14.0,12.77,13.59
MPLT,2025-12-02,13.51,14.08,12.845,12.89
MPLT,2025-12-03,14.11,17.25,14.11,16.92
MPLT,2025-12-04,16.46,18.9495,16.0,18.34
MPLT,2025-12-05,18.1,19.2462,17.82,18.49
MPLT,2025-12-08,18.87,20.1,18.0,18.37
MPLT,2025-12-09,18.26,19.01,18.165,18.85
MPLT,2025-12-10,19.15,21.395,18.0,20.58
MPLT,2025-12-11,20.43,21.2,19.455,20.095
MPLT,2025-12-12,20.05,21.38,20.04,20.7
