ticker,date,open,high,low,close
ELOG,2025-08-28,3.4,3.6,2.8,2.96
ELOG,2025-08-29,3.03,3.16,2.61,2.96
ELOG,2025-09-02,2.27,2.27,2.11,2.27
ELOG,2025-09-03,2.2,2.37,1.83,1.95
ELOG,2025-09-04,1.9999,2.13,1.82,2.07
ELOG,2025-09-05,2.02,2.42,2.02,2.42
ELOG,2025-09-08,2.45,2.8799,2.2,2.2208
ELOG,2025-09-09,2.23,2.6,2.09,2.51
ELOG,2025-09-10,2.605,2.605,2.3401,2.48
ELOG,2025-09-11,2.45,2.55,2.41,2.47
ELOG,2025-09-12,1.98,2.47,1.85,2.41
ELOG,2025-09-15,2.42,2.85,2.4105,2.52
ELOG,2025-09-16,2.51,2.52,2.28,2.36
ELOG,2025-09-17,2.52,2.69,2.4201,2.6
ELOG,2025-09-18,2.44,2.5699,2.3,2.4
ELOG,2025-09-19,2.43,2.49,2.25,2.43
ELOG,2025-09-22,2.4,2.5,2.35,2.49
ELOG,2025-09-23,2.4,2.4981,2.27,2.43
ELOG,2025-09-24,2.36,2.54,2.2,2.35
ELOG,2025-09-25,2.4653,2.4653,2.25,2.34
ELOG,2025-09-26,2.25,2.3928,2.12,2.33
ELOG,2025-09-29,2.28,2.33,2.16,2.27
ELOG,2025-09-30,2.2434,2.25,2.18,2.21
ELOG,2025-10-01,2.19,2.4999,2.19,2.32
ELOG,2025-10-02,2.25,2.34,2.25,2.33
ELOG,2025-10-03,2.34,2.39,2.25,2.32
ELOG,2025-10-06,2.32,2.6,2.28,2.42
ELOG,2025-10-07,2.42,2.6,2.34,2.58
ELOG,2025-10-08,2.5466,2.5466,2.4,2.49
ELOG,2025-10-09,2.42,2.5665,2.321,2.48
ELOG,2025-10-10,2.4,2.66,2.38,2.55
ELOG,2025-10-13,2.65,3.0683,2.5,2.97
ELOG,2025-10-14,2.78,2.93,2.59,2.65
ELOG,2025-10-15,2.52,2.66,2.27,2.341
ELOG,2025-10-16,2.53,2.53,2.101,2.15
ELOG,2025-10-17,2.19,2.57,2.15,2.23
ELOG,2025-10-20,2.38,2.478,2.24,2.3
ELOG,2025-10-21,2.3,2.43,2.25,2.31
ELOG,2025-10-22,2.3,2.44,2.2518,2.38
ELOG,2025-10-23,2.27,2.6804,2.27,2.52
ELOG,2025-10-24,2.42,2.6445,2.42,2.53
ELOG,2025-10-27,2.46,2.64,2.46,2.63
ELOG,2025-10-28,2.6,2.7,2.3584,2.45
ELOG,2025-10-29,2.38,2.565,2.38,2.38
ELOG,2025-10-30,2.4,2.515,2.25,2.3
ELOG,2025-10-31,2.54,2.54,2.29,2.3
ELOG,2025-11-03,2.38,2.674,2.16,2.47
ELOG,2025-11-04,2.4,2.64,2.4,2.5
ELOG,2025-11-05,2.51,2.54,2.41,2.53
ELOG,2025-11-06,2.39,2.8024,2.38,2.57
ELOG,2025-11-07,2.37,2.57,2.3,2.52
ELOG,2025-11-10,2.41,2.5,2.33,2.43
ELOG,2025-11-11,2.18,2.3719,2.15,2.16
ELOG,2025-11-12,2.16,2.21,2.06,2.2
ELOG,2025-11-13,2.15,2.3954,2.11,2.16
ELOG,2025-11-14,2.19,2.27,2.19,2.27
ELOG,2025-11-17,2.17,2.2734,2.17,2.22
ELOG,2025-11-18,2.2198,2.2198,2.12,2.17
ELOG,2025-11-19,2.17,2.23,2.0201,2.09
ELOG,2025-11-20,2.1561,2.1561,2.04,2.1
ELOG,2025-11-21,2.06,2.12,2.0,2.01
ELOG,2025-11-24,2.11,2.11,1.77,1.94
ELOG,2025-11-25,1.99,2.05,1.97,2.05
ELOG,2025-11-26,2.02,2.0999,2.0119,2.0999
ELOG,2025-11-28,2.065,2.095,2.0,2.03
ELOG,2025-12-01,2.08,2.175,2.08,2.13
ELOG,2025-12-02,2.16,2.23,2.15,2.22
ELOG,2025-12-03,2.21,2.28,2.16,2.28
ELOG,2025-12-04,2.19,2.19,2.01,2.07
ELOG,2025-12-05,2.09,2.17,1.99,1.99
ELOG,2025-12-08,2.01,2.11,1.9,1.9
ELOG,2025-12-09,1.99,2.0,1.9,2.0
ELOG,2025-12-10,1.95,1.95,1.6752,1.75
ELOG,2025-12-11,1.93,1.93,1.71,1.84
ELOG,2025-12-12,1.82,1.84,1.68,1.68
