ticker,date,open,high,low,close
NCEL,2025-11-03,5.73,5.865,5.0,5.14
NCEL,2025-11-04,5.07,6.48,5.0,5.655
NCEL,2025-11-05,5.32,5.615,4.65,4.7
NCEL,2025-11-06,4.64,4.74,4.05,4.15
NCEL,2025-11-07,4.0,4.115,3.86,4.01
NCEL,2025-11-10,4.05,4.2079,3.8,3.83
NCEL,2025-11-11,3.81,4.145,3.75,3.75
NCEL,2025-11-12,3.8,3.96,3.52,3.67
NCEL,2025-11-13,3.64,3.693,3.33,3.43
NCEL,2025-11-14,3.39,3.51,3.26,3.48
NCEL,2025-11-17,3.46,3.69,3.435,3.44
NCEL,2025-11-18,3.48,3.54,3.2501,3.47
NCEL,2025-11-19,3.4,3.51,3.31,3.31
NCEL,2025-11-20,3.26,3.59,3.1308,3.21
NCEL,2025-11-21,3.27,3.41,3.062,3.338
NCEL,2025-11-24,3.25,3.4999,3.17,3.38
NCEL,2025-11-25,3.33,3.55,3.25,3.5
NCEL,2025-11-26,3.48,3.92,3.38,3.83
NCEL,2025-11-28,3.83,4.03,3.72,4.01
NCEL,2025-12-01,4.0,4.0665,3.5,3.7
NCEL,2025-12-02,3.69,3.71,3.3,3.7
NCEL,2025-12-03,3.745,3.7999,3.5,3.54
NCEL,2025-12-04,3.53,3.78,3.5,3.61
NCEL,2025-12-05,3.76,3.91,3.49,3.64
NCEL,2025-12-08,3.9364,4.0387,3.575,3.823
NCEL,2025-12-09,3.87,4.6,3.78,4.55
NCEL,2025-12-10,4.59,4.7,4.0,4.26
NCEL,2025-12-11,4.2,4.3,3.3,3.33
NCEL,2025-12-12,3.31,3.51,2.91,2.91
